,Unnamed: 0,emotion,quotes
2561,2562,spirituality,"A healer's power stems not from any special ability, but from maintaining the courage and awareness to embody and express the universal healing power that every human being naturally possesses."
2404,2405,spirituality,"The first peace, which is the most important, is that which comes within the souls of people when they realize their relationship, their oneness with the universe and all its powers, and when they realize at the center of the universe dwells the Great Spirit, and that its center is really everywhere, it is within each of us."
2238,2239,religion,"Faith is not Desire. Faith is Will. Desires are things that need to be satisfied, whereas Will is a force. Will changes the space around us,..."
1501,1502,faith,And my God will supply all your needs according to His riches in glory in Christ Jesus.
2874,2875,god,You will never glory in God till first of all God has killed your glorying in yourself.
1972,1973,motivational,"People in general would rather die than forgive. It's that hard. If God said in plain language. ""I'm giving you a choice, forgive or die,"" a lot of people would go ahead and order their coffin."
3184,3185,death,"Those we love never truly leave us, Harry. There are things that death cannot touch."
432,432,romance,"Nerd girls are the world’s most underutilized romantic resource. And guys, do not tell me that nerd girls are not hot because that shows a Paris Hilton-esque failure to understand hotness."
3802,3803,books,"A book is made from a tree. It is an assemblage of flat, flexible parts (still called ""leaves"") imprinted with dark pigmented squiggles. One glance at it and you hear the voice of another person, perhaps someone dead for thousands of years. Across the millennia, the author is speaking, clearly and silently, inside your head, directly to you. Writing is perhaps the greatest of human inventions, binding together people, citizens of distant epochs, who never knew one another. Books break the shackles of time ― proof that humans can work magic."
3020,3021,death,لا أخاف الموت ..أخاف أن أموت قبل أن أحيا
244,244,love,"Who, being loved, is poor?"
3883,3884,books,I just got out of the hospital. I was in a speed reading accident. I hit a book mark and flew across the room.
1514,1515,faith,"I've got a theory, it could be bunnies...I've got a theor-Bunnies aren't just cute like everybody supposesThey've got them hoppy legs and twitchy little noses.And what's with all the carrots-?What do they need such good eyesight for anyway?Bunnies, bunnies it must be bunnies!...or maybe midgets..."
674,675,happiness,"If more of us valued food and cheer and song above hoarded gold, it would be a merrier world."
2940,2941,god,"Oh, God of Dust and Rainbows,Help us to seeThat without the dust the rainbowWould not be."
3621,3622,science,"As we all know, blinking lights means science."
3198,3199,death,"The boundaries which divide Life from Death are at best shadowy and vague. Who shall say where the one ends, and where the other begins?"
3186,3187,death,"Death, therefore, the most awful of evils, is nothing to us, seeing that, when we are, death is not come, and, when death is come, we are not."
2441,2442,spirituality,Small good decisions will lead you to the glorious path of success.
2134,2135,religion,"Night poured over the desert. It came suddenly, in purple. In the clear air, the stars drilled down out of the sky, reminding any thoughtful watcher that it is in the deserts and high places that religions are generated. When men see nothing but bottomless infinity over their heads they have always had a driving and desperate urge to find someone to put in the way."
3853,3854,books,"I still love books. Nothing a computer can do can compare to a book. You can't really put a book on the Internet. Three companies have offered to put books by me on the Net, and I said, 'If you can make something that has a nice jacket, nice paper with that nice smell, then we'll talk.' All the computer can give you is a manuscript. People don't want to read manuscripts. They want to read books. Books smell good. They look good. You can press it to your bosom. You can carry it in your pocket."
913,914,happiness,"Always forgive, but never forget, else you will be a prisoner of your own hatred, and doomed to repeat your mistakes forever."
1230,1231,inspirational,Tears are words that need to be written.
786,787,happiness,"Children are happy because they don't have a file in their minds called ""All the Things That Could Go Wrong."
1298,1299,inspirational,Be steady and well-ordered in your life so that you can be fierce and original in your work.
1509,1510,faith,"A priest once quoted to me the Roman saying that a religion is dead when the priests laugh at each other across the altar. I always laugh at the altar, be it Christian, Hindu, or Buddhist, because real religion is the transformation of anxiety into laughter."
3281,3282,death,***HERE IS A SMALL FACT*** You are going to die.
3800,3801,books,"A quiet secluded life in the country, with the possibility of being useful to people to whom it is easy to do good, and who are not accustomed to have it done to them; then work which one hopes may be of some use; then rest, nature, books, music, love for one's neighbor — such is my idea of happiness."
1677,1678,motivational,The only way of discovering the limits of the possible is to venture a little way past them into the impossible.
404,404,romance,I honestly have no idea how to live without you.
1868,1869,motivational,Act the way you'd like to be and soon you'll be the way you'd like to act.
3842,3843,books,Literature is news that stays news.
4129,4130,knowledge,"Until every soul is freely permitted to investigate every book, and creed, and dogma for itself, the world cannot be free. Mankind will be enslaved until there is mental grandeur enough to allow each man to have his thought and say. This earth will be a paradise when men can, upon all these questions differ, and yet grasp each other's hands as friends. It is amazing to me that a difference of opinion upon subjects that we know nothing with certainty about, should make us hate, persecute, and despise each other. Why a difference of opinion upon predestination, or the trinity, should make people imprison and burn each other seems beyond the comprehension of man; and yet in all countries where Christians have existed, they have destroyed each other to the exact extent of their power. Why should a believer in God hate an atheist? Surely the atheist has not injured God, and surely he is human, capable of joy and pain, and entitled to all the rights of man. Would it not be far better to treat this atheist, at least, as well as he treats us?Christians tell me that they love their enemies, and yet all I ask is—not that they love their enemies, not that they love their friends even, but that they treat those who differ from them, with simple fairness.We do not wish to be forgiven, but we wish Christians to so act that we will not have to forgive them. If all will admit that all have an equal right to think, then the question is forever solved; but as long as organized and powerful churches, pretending to hold the keys of heaven and hell, denounce every person as an outcast and criminal who thinks for himself and denies their authority, the world will be filled with hatred and suffering. To hate man and worship God seems to be the sum of all the creeds."
541,541,romance,I love you. I hate you. I like you. I hate you. I love you. I think you’re stupid. I think you’re a loser. I think you’re wonderful. I want to be with you. I don’t want to be with you. I would never date you. I hate you. I love you…..I think the madness started the moment we met and you shook my hand. Did you have a disease or something?
1536,1537,faith,"You're gonna have to serve somebody; well, it may be the devil, or it may be the Lord, but you're gonna have to serve somebody..."
1735,1736,motivational,"If you don’t give up on something you truly believe in, you will find a way."
185,185,love,As if you were on fire from within.The moon lives in the lining of your skin.
4043,4044,knowledge,"When you reach the end of what you should know, you will be at the beginning of what you should sense."
599,599,romance,"I was his exception, and as much as I had tried to fight my feelings, he was mine."
4246,4247,knowledge,"While differing widely in the various little bits we know, in our infinite ignorance we are all equal."
665,666,happiness,Happiness in intelligent people is the rarest thing I know.
2537,2538,spirituality,"At such times, the heart of man turns instictively towards his Maker. In prosperity, and whenever there is nothing to injure or make him afraid, he remembers Him not, and is ready to defy Him; but place him in the midst of dangers, cut him off from human aid, let the grave open before him, then it is, in the time of his tribulation, that the scoffer and unbelieving man turns to God for help, feeling there is no other hope, or refuge, or safety, save in his protecting arm."
3028,3029,death,"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of other's opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition. They somehow already know what you truly want to become. Everything else is secondary."
1701,1702,motivational,You must learn to let go. Release the stress. You were never in control anyway.
183,183,love,Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.
370,370,romance,"You’re dangerous,” he says.“Why?”“Because you make me believe in the impossible"
4236,4237,knowledge,"And last are the few whose delight is in meditation and understanding; who yearn not for goods, nor for victory, but for knowledge; who leave both market and battlefield to lose themselves in the quiet clarity of secluded thought; whose will is a light rather than a fire, whose haven is not power but truth: these are the men of wisdom, who stand aside unused by the world."
4230,4231,knowledge,"Peace does not mean an absence of conflicts; differences will always be there. Peace means solving these differences through peaceful means; through dialogue, education, knowledge; and through humane ways."
4274,4275,knowledge,"We are unknown to ourselves, we men of knowledge - and with good reason. We have never sought ourselves - how could it happen that we should ever find ourselves? It has rightly been said: ""Where your treasure is, there will your heart be also""; our treasure is where the beehives of our knowledge are."
2151,2152,religion,"In every age it has been the tyrant, the oppressor and the exploiter who has wrapped himself in the cloak of patriotism, or religion, or both to deceive and overawe the People."
526,526,romance,Attraction is not an option. 
140,140,love,I love you more than there are stars in the sky and fish in the sea.
1965,1966,motivational,"As I naturally go through a full range of emotions in my life, I mustn’t feel ashamed for feeling lost, for it is honest and human to feel such."
3128,3129,death,"Dying is overrated. Human sentimentality has twisted it into the ultimate act of love. Biggest load of bullshit in the world. Dying for someone isn't the hard thing. The man that dies escapes. Plain and simple. Game over. End of pain...Try living for someone. Through it all-good, bad, thick, thin, joy, suffering. That's the hard thing."
2242,2243,religion,Jasnah had once defined a fool as a person who ignored information because it disagreed with desired results.
3803,3804,books,"There is something about words. In expert hands, manipulated deftly, they take you prisoner. Wind themselves around your limbs like spider silk, and when you are so enthralled you cannot move, they pierce your skin, enter your blood, numb your thoughts. Inside you they work their magic."
4060,4061,knowledge,"I have always thirsted for knowledge, I have always been full of questions."
3754,3755,books,Words dazzle and deceive because they are mimed by the face. But black words on a white page are the soul laid bare.
1327,1328,faith,"God will not look you over for medals, degrees or diplomas but for scars."
3688,3689,books,"Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head."
2872,2873,god,"The story goes that a public sinner was excommunicated and forbidden entry to the church. He took his woes to God. 'They won't let me in, Lord, because I am a sinner.''What are you complaining about?' said God. 'They won't let Me in either."
3315,3316,science,"In the beginning there was nothing, which exploded."
2147,2148,religion,A young man who wishes to remain a sound atheist cannot be too careful of his reading.
1570,1571,faith,Faith is like radar that sees through the fog -- the reality of things at a distance that the human eye cannot see.
207,207,love,"Maybe...you'll fall in love with me all over again.""""Hell,"" I said, ""I love you enough now. What do you want to do? Ruin me?""""Yes. I want to ruin you.""""Good,"" I said. ""That's what I want too."
2326,2327,spirituality,Dare to love yourselfas if you were a rainbowwith gold at both ends.
44,44,love,"When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too."
471,471,romance,"You have no idea how much the last few days have meant to me,"" I began. ""Meeting you has been the best thing that's ever happened to me."" I hesitated, know that if I stopped now, I'd never be able to say it to anyone. ""I love you,"" I whispered. ""Did you ever imagine something like this?"" she wondered aloud. ""You and me , I mean?"" ""No,"" I said. ""It scares me a little."" My stomach flipped, and all at once, I was sure she didnt feel the same way. ""You dont have to say it back to me,"" I began. ""That's not why I said it--"" ""I know,"" she interrupted. ""You don't understand. I wasnt scared because you told me. I got scared because I wanted to say it, too: I love you, John."
2198,2199,religion,Religion is about turning untested belief into unshakable truth through the power of institutions and the passage of time.
1002,1003,inspirational,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
1968,1969,motivational,"We become so absorbed in our flaws and faults that we forget that it is better to be a diamond with a flaw than a pebble without. To have flaws is beauty in itself, a fact so frightening that we hurry to hide them from sight and tarnish the whole in the process of comparing ourselves to others."
777,778,happiness,"I have no faith in human perfectibility. I think that human exertion will have no appreciable effect upon humanity. Man is now only more active - not more happy - nor more wise, than he was 6000 years ago."
2001,2002,religion,"Sometimes the Bible in the hand of one man is worse than a whisky bottle in the hand of (another)... There are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results."
123,123,love,"You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have."
641,641,romance,"With a chaste heart With pure eyes I celebrate your beautyHolding the leash of bloodSo that it might leap out and trace your outline Where you lie down in my Ode As in a land of forests or in surfIn aromatic loam, or in sea musicBeautiful nudeEqually beautiful your feetArched by primeval tap of wind or soundYour ears, small shellsOf the splendid American seaYour breasts of level plentitudeFulfilled by living lightYour flying eyelids of wheatRevealing or enclosingThe two deep countries of your eyesThe line your shoulders have divided into pale regionsLoses itself and blends into the compact halves of an apple Continues separating your beauty down into two columns ofBurnished goldFine alabasterTo sink into the two grapes of your feetWhere your twin symmetrical tree burns again and risesFlowering fireOpen chandelierA swelling fruit Over the pact of sea and earth From what materialsAgate?Quartz?Wheat?Did your body come together?Swelling like baking bread to signal silvered hills The cleavage of one petal Sweet fruits of a deep velvet Until alone remainedAstonished The fine and firm feminine form It is not only light that falls over the world spreading inside your bodyYet suffocate itselfSo much is clarity Taking its leave of youAs if you were on fire within The moon lives in the lining of your skin."
3437,3438,science,"I went to school in drag, in art school and my day was completely different because everybody thought I was a chick. You should see me as a chick. So I went as a girl, as like an experiment and it worked really well and everyone was really nice to me but I couldn't talk obviously...you know train conductors were really cool to me on my commute...HA! I looked hot as a chick!"
3729,3730,books,My Best Friend is a person who will give me a book I have not read.
2299,2300,religion,Woman is the light of God.
1232,1233,inspirational,Sometimes you have to lose all you have to find out who you truly are.
324,324,love,"The only calibration that counts is how much heart people invest, how much they ignore their fears of being hurt or caught out or humiliated. And the only thing people regret is that they didn't live boldly enough, that they didn't invest enough heart, didn't love enough. Nothing else really counts at all."
2669,2670,god,God save us from people who mean well.
3364,3365,science,I learned very early the difference between knowing the name of something and knowing something.
4139,4140,knowledge,Everybody gets so much information all day long that they lose their common sense.
1041,1042,inspirational,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival."
3103,3104,death,"I wanted to explain that I am constantly overestimating and underestimating the human race - that rarely do I even simply estimate it. I wanted to ask her how the same thing could be so ugly and so glorious, and its words and stories so damning and brilliant...I AM HAUNTED BY HUMANS."
4002,4003,knowledge,"Knowledge comes, but wisdom lingers."
441,441,romance,Every woman wants a man who'll fall in love with her soul as well as her body.
1054,1055,inspirational,"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue."
1113,1114,inspirational,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.
1814,1815,motivational,Life teaches us the right path is rarely the easy one.
1476,1477,faith,من قال لك أن درب الجنة معبد بالورود؟
3704,3705,books,"A book, too, can be a star, a living fire to lighten the darkness, leading out into the expanding universe."
925,926,happiness,"Ô, Sunlight! The most precious gold to be found on Earth."
1299,1300,inspirational,"Whatever you do, you need courage. Whatever course you decide upon, there is always someone to tell you that you are wrong. There are always difficulties arising that tempt you to believe your critics are right. To map out a course of action and follow it to an end requires some of the same courage that a soldier needs. Peace has its victories, but it takes brave men and women to win them."
3456,3457,science,"It is easy to overlook this thought that life just is. As humans we are inclined to feel that life must have a point. We have plans and aspirations and desires. We want to take constant advantage of all the intoxicating existence we've been endowed with. But what's life to a lichen? Yet its impulse to exist, to be, is every bit as strong as ours—arguably even stronger. If I were told that I had to spend decades being a furry growth on a rock in the woods, I believe I would lose the will to go on. Lichens don't. Like virtually all living things, they will suffer any hardship, endure any insult, for a moment's additional existence. Life, in short, just wants to be."
489,489,romance,"You're a hero and a gentleman, you're kind and honest, but more than that, you're the first man I ever truly loved. And no matter what the future brings, you always will be, and I know that my life is better for it."
3961,3962,knowledge,"The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925."
1437,1438,faith,"Faith can be very very dangerous, and deliberately to implant it into the vulnerable mind of an innocent child is a grievous wrong."
4110,4111,knowledge,"How little we know of what there is to know. I wish that I were going to live a long time instead of going to die today because I have learned much about life in these four days; more, I think than in all other time. I'd like to be an old man to really know. I wonder if you keep on learning or if there is only a certain amount each man can understand. I thought I knew so many things that I know nothing of. I wish there was more time."
2162,2163,religion,I have so much to do that I shall spend the first three hours in prayer.
2744,2745,god,Men trust God by risking rejection. Women trust God by waiting.
2209,2210,religion,"Gravity explains the motions of the planets, but it cannot explain who sets the planets in motion."
1260,1261,inspirational,Wanting to be someone else is a waste of the person you are.
3687,3688,books,"If you have a garden and a library, you have everything you need."
3177,3178,death,"When writers die they become books, which is, after all, not too bad an incarnation.""[As attributed by Alastair Reid in Neruda and Borges, The New Yorker, June 24, 1996; as well as in The Talk of the Town, The New Yorker, July 7, 1986]"
3058,3059,death,"She's not here,"" I tell him. Buttercup hisses again. ""She's not here. You can hiss all you like. You won't find Prim."" At her name, he perks up. Raises his flattened ears. Begins to meow hopefully. ""Get out!"" He dodges the pillow I throw at him. ""Go away! There's nothing left for you here!"" I start to shake, furious with him. ""She's not coming back! She's never ever coming back here again!"" I grab another pillow and get to my feet to improve my aim. Out of nowhere, the tears begin to pour down my cheeks. ""She's dead, you stupid cat. She's dead."
3131,3132,death,Pulvis et umbra sumus. (We are but dust and shadow.)
2471,2472,spirituality,"Successful people enjoy the journeys they embark on, irrespective of whether they reach their destination or not."
534,534,romance,Kenapa harus takut gelap kalau ada banyak hal indah yang hanya bisa dilihat sewaktu gelap?-Nishimura Kazuto
3505,3506,science,I know that the molecules in my body are traceable to phenomena in the cosmos. That makes me want to grab people on the street and say: ‘Have you HEARD THIS?
2470,2471,spirituality,"When God takes out the trash, don't go digging back through it. Trust Him."
3571,3572,science,"Do not become someone else just because you are hurt. Be who you are & smile, it may solve, all problems you have got."
3310,3311,science,Time is a drug. Too much of it kills you.
177,177,love,I wantTo do with you what spring does with the cherry trees.
805,806,happiness,"I heard a definition once: Happiness is health and a short memory! I wish I'd invented it, because it is very true."
1130,1131,inspirational,"The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity."
1848,1849,motivational,What helps you persevere is your resilience and commitment.
2806,2807,god,"My soul doth magnify the Lord,And my spirit hath rejoiced in God my Savior."
2064,2065,religion,"And if there were a God, I think it very unlikely that He would have such an uneasy vanity as to be offended by those who doubt His existence"
3319,3320,science,A man who dares to waste one hour of time has not discovered the value of life.
2333,2334,spirituality,"It takes three to make love, not two: you, your spouse, and God. Without God people only succeed in bringing out the worst in one another. Lovers who have nothing else to do but love each other soon find there is nothing else. Without a central loyalty life is unfinished."
484,484,romance,"When you find a guy who calls you beautiful instead of hot, who calls you back when you hang up on him, who will stand in front of you when other’s cast stones, or will stay awake just to watch you sleep, who wants to show you off to the world when you are in sweats, who will hold your hand when your sick, who thinks your pretty without makeup, the one who turns to his friends and say, ‘that’s her’, the one that would bear your rejection because losing you means losing his will to live, who kisses you when you screw up, watches the stars and names one for you and will hold and rock that baby for hours so you can sleep…..you marry him all over again."
4278,4279,knowledge,Politeness is the first thing people lose once they get the power.
1794,1795,motivational,"The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone."
1406,1407,faith,"Dance. Smile. Giggle. Marvel. TRUST. HOPE. LOVE. WISH. BELIEVE. Most of all, enjoy every moment of the journey, and appreciate where you are at this moment instead of always focusing on how far you have to go."
1481,1482,faith,Any faith that must be supported by the evidence of the senses is not real faith.
67,67,love,"Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love."
3919,3920,books,"V-Day…if you need this one day in a year to show everyone else you truly care for “your loved one” I think it’s quite stupid. I hate this commercialism. It’s all artificial, and has nothing to do with real love."
1465,1466,faith,"I am afraid that the schools will prove the very gates of hell, unless they diligently labor in explaining the Holy Scriptures and engraving them in the heart of the youth."
3618,3619,science,"...But I own that I cannot see as plainly as others do, and as I should wish to do, evidence of design and beneficence on all sides of us. There seems to me too much misery in the world. I cannot persuade myself that a beneficent and omnipotent God would have designedly created the Ichneumonidæ with the express intention of their feeding within the living bodies of Caterpillars, or that a cat should play with mice... I feel most deeply that the whole subject is too profound for the human intellect. A dog might as well speculate on the mind of Newton. Let each man hope and believe what he can."
4034,4035,knowledge,"Knowledge is a treasure, but practice is the key to it."
2764,2765,god,"The Buddhists say there are 149 ways to God. I'm not looking for God, only for myself, and that is far more complicated. God has had a great deal written about Him; nothing has been written about me. God is bigger, like my mother, easier to find, even in the dark. I could be anywhere, and since I can't describe myself I can't ask for help."
1141,1142,inspirational,"Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another land"
3686,3687,books,"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out."
1321,1322,faith,"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?"
1951,1952,motivational,It’s a lack of clarity that creates chaos and frustration. Those emotions are poison to any living goal.
2993,2994,death,"Things we lose have a way of coming back to us in the end, if not always in the way we expect."
1473,1474,faith,"This is my living faith, an active faith, a faith of verbs: to question, explore, experiment, experience, walk, run, dance, play, eat, love, learn, dare, taste, touch, smell, listen, speak, write, read, draw, provoke, emote, scream, sin, repent, cry, kneel, pray, bow, rise, stand, look, laugh, cajole, create, confront, confound, walk back, walk forward, circle, hide, and seek."
158,158,love,"Hate the sin, love the sinner."
4212,4213,knowledge,"When walking alone in a jungle of true darkness, there are three things that can show you the way: instinct to survive, the knowledge of navigation, creative imagination. Without them, you are lost."
813,814,happiness,I don't think that there are any limits to how excellent we could make life seem.
436,436,romance,"Some people claim that marriage interferes with romance. There's no doubt about it. Anytime you have a romance, your wife is bound to interfere."
2281,2282,religion,"Well, knowledge is a fine thing, and mother Eve thought so; but she smarted so severely for hers, that most of her daughters have been afraid of it since. "
3794,3795,books,"It's not all bad. Heightened self-consciousness, apartness, an inability to join in, physical shame and self-loathing—they are not all bad. Those devils have been my angels. Without them I would never have disappeared into language, literature, the mind, laughter and all the mad intensities that made and unmade me."
2530,2531,spirituality,"To persons standing alone on a hill during a clear midnight such as this, the roll of the world is almost a palpable movement. To enjoy the epic form of that gratification it is necessary to stand on a hill at a small hour of the night, and, having first expanded with a sense of difference from the mass of civilized mankind, who are diregardful of all such proceedings at this time, long and quietly watch your stately progress through the stars."
3713,3714,books,"Isn't it odd how much fatter a book gets when you've read it several times?"" Mo had said...""As if something were left between the pages every time you read it. Feelings, thoughts, sounds, smells...and then, when you look at the book again many years later, you find yourself there, too, a slightly younger self, slightly different, as if the book had preserved you like a pressed flower...both strange and familiar."
1877,1878,motivational,"We have been called to heal wounds, to unite what has fallen apart, and to bring home those who have lost their way."
434,434,romance,"There is a time for everything, and a season for every activity under heaven:a time to be born and a time to die,a time to plant and a time to uproot,a time to kill and a time to heal,a time to tear down and a time to build,a time to weep and a time to laugh,a time to mourn and a time to dance,a time to scatter stones and a time to gather them,a time to embrace and a time to refrain,a time to search and a time to give up,a time to keep and a time to throw away,a time to tear and a time to mend,a time to be silent and a time to speak,a time to love and a time to hate,a time for war and a time for peace.(Ecclesiastes 3:1-8, NIV)"
1092,1093,inspirational,"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”I will find that special person who is wrong for me in just the right way."
3516,3517,science,"We can only see a short distance ahead, but we can see plenty there that needs to be done."
3262,3263,death,"You are so young, Lyra, too young to understand this, but I shall tell you anyway and you'll understand it later: men pass in front of our eyes like butterflies, creatures of a brief season. We love them; they are brave, proud, beautiful, clever; and they die almost at once. They die so soon that our hearts are continually racked with pain. We bear their children, who are witches if they are female, human if not; and then in the blink of an eye they are gone, felled, slain, lost. Our sons, too. When a little boy is growing, he thinks he is immortal. His mother knows he isn't. Each time becomes more painful, until finally your heart is broken. Perhaps that is when Yambe-Akka comes for you. She is older than the tundra. Perhaps, for her, witches' lives are as brief as men's are to us."
3709,3710,books,"And on the subject of burning books: I want to congratulate librarians, not famous for their physical strength or their powerful political connections or their great wealth, who, all over this country, have staunchly resisted anti-democratic bullies who have tried to remove certain books from their shelves, and have refused to reveal to thought police the names of persons who have checked out those titles.So the America I loved still exists, if not in the White House or the Supreme Court or the Senate or the House of Representatives or the media. The America I love still exists at the front desks of our public libraries."
2785,2786,god,Man is the most insane species. He worships an invisible God and destroys a visible Nature. Unaware that this Nature he’s destroying is this God he’s worshiping.
1619,1620,faith,My idea of God is not a divine idea. It has to be shattered time after time. He shatters it Himself.
1610,1611,faith,What you do matters — but not much. What you are matters tremendously.
3678,3679,books,Books are mirrors: you only see in them what you already have inside you.
1824,1825,motivational,Free yourself from the complexities and drama of your life. Simplify. Look within. Within ourselves we all have the gifts and talents we need to fulfill the purpose we've been blessed with.
3373,3374,science,Scientists have calculated that the chances of something so patently absurd actually existing are millions to one.But magicians have calculated that million-to-one chances crop up nine times out of ten.
1796,1797,motivational,"It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish."
3993,3994,knowledge,"I have a friend who's an artist and has sometimes taken a view which I don't agree with very well. He'll hold up a flower and say ""look how beautiful it is,"" and I'll agree. Then he says ""I as an artist can see how beautiful this is but you as a scientist take this all apart and it becomes a dull thing,"" and I think that he's kind of nutty. First of all, the beauty that he sees is available to other people and to me too, I believe. Although I may not be quite as refined aesthetically as he is ... I can appreciate the beauty of a flower. At the same time, I see much more about the flower than he sees. I could imagine the cells in there, the complicated actions inside, which also have a beauty. I mean it's not just beauty at this dimension, at one centimeter; there's also beauty at smaller dimensions, the inner structure, also the processes. The fact that the colors in the flower evolved in order to attract insects to pollinate it is interesting; it means that insects can see the color. It adds a question: does this aesthetic sense also exist in the lower forms? Why is it aesthetic? All kinds of interesting questions which the science knowledge only adds to the excitement, the mystery and the awe of a flower. It only adds. I don't understand how it subtracts."
2177,2178,religion,"To live by grace means to acknowledge my whole life story, the light side and the dark. In admitting my shadow side I learn who I am and what God's grace means."
2029,2030,religion,"I'm completely in favor of the separation of Church and State. ... These two institutions screw us up enough on their own, so both of them together is certain death."
815,816,happiness,This life is yours. Take the power to choose what you want to do and do it well. Take the power to love what you want in life and love it honestly. Take the power to walk in the forest and be a part of nature. Take the power to control your own life. No one else can do it for you. Take the power to make your life happy.
1934,1935,motivational,How would your life be different if…You didn’t allow yourself to be defined by your past? Let today be the day…You stop letting your history interfere with your destiny and awaken to the opportunity to release your greatest self.
2989,2990,death,"You'll stay with me?'Until the very end,' said James."
184,184,love,I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.
236,236,love,"People have forgotten this truth,"" the fox said. ""But you mustn’t forget it. You become responsible forever for what you’ve tamed. You’re responsible for your rose."
1240,1241,inspirational,"please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you."
1900,1901,motivational,"Plants are more courageous than almost all human beings: an orange tree would rather die than produce lemons, whereas instead of dying the average person would rather be someone they are not."
2566,2567,spirituality,Isn't this enough? Just this world? Just THIS?
